fecha,X,Y,ETIQUETA_MES,year,month
3/16/2022,-90.31725067,-0.69279069,15,2022,3
7/8/2021,-90.31730746,-0.69286866,7,2021,7
5/19/2022,-90.31735815,-0.69295138,17,2022,5
2/12/2022,-90.31741381,-0.69303291,14,2022,2
12/17/2021,-90.31747582,-0.69311188,12,2021,12
5/10/2022,-90.31754559,-0.69317827,17,2022,5
10/11/2022,-90.31761693,-0.69325076,22,2022,10
1/8/2021,-90.31767807,-0.69332068,1,2021,1
7/22/2022,-90.31774106,-0.69339163,19,2022,7
5/31/2022,-90.31780265,-0.69346093,17,2022,5
3/4/2021,-90.31787301,-0.69353354,3,2021,3
9/19/2022,-90.31794144,-0.69360328,21,2022,9
12/10/2022,-90.31801247,-0.69366848,24,2022,12
12/20/2022,-90.31807773,-0.69373722,24,2022,12
3/12/2021,-90.31814284,-0.69380198,3,2021,3
2/7/2021,-90.3182075,-0.69386912,2,2021,2
9/15/2021,-90.31827286,-0.69393188,9,2021,9
9/16/2021,-90.31834502,-0.69400142,9,2021,9
8/29/2021,-90.31841163,-0.69407516,8,2021,8
10/4/2021,-90.3184731,-0.69414486,10,2021,10
4/25/2021,-90.31854911,-0.69420489,4,2021,4
2/23/2022,-90.31860913,-0.6942837,14,2022,2
12/27/2022,-90.31869149,-0.6943348,24,2022,12
9/6/2021,-90.31875593,-0.69439911,9,2021,9
12/23/2022,-90.31880896,-0.69447449,24,2022,12
5/7/2022,-90.31886205,-0.69455643,17,2022,5
8/12/2022,-90.31893214,-0.694614,20,2022,8
12/4/2022,-90.31900372,-0.69467353,24,2022,12
11/30/2022,-90.31907562,-0.69473569,23,2022,11
5/20/2022,-90.31916115,-0.69477507,17,2022,5
2/17/2022,-90.31925529,-0.6947791,14,2022,2
4/17/2022,-90.31933175,-0.69484114,16,2022,4
5/22/2021,-90.31943255,-0.6948247,5,2021,5
5/9/2022,-90.31953077,-0.69479228,17,2022,5
7/22/2021,-90.31967306,-0.69478707,7,2021,7
12/3/2022,-90.31982974,-0.6947689,24,2022,12
12/31/2021,-90.31996454,-0.69475768,12,2021,12
4/20/2021,-90.32005902,-0.6947518,4,2021,4
3/7/2021,-90.32015262,-0.69474779,3,2021,3
10/7/2022,-90.320257,-0.69474017,22,2022,10
8/24/2022,-90.32040733,-0.69472484,20,2022,8
10/19/2022,-90.32058149,-0.69470972,22,2022,10
9/12/2022,-90.32067687,-0.69470556,21,2022,9
9/16/2022,-90.32077361,-0.69470178,21,2022,9
9/21/2021,-90.32087522,-0.6946972,9,2021,9
4/15/2021,-90.32097431,-0.69469152,4,2021,4
1/31/2021,-90.32107629,-0.69468685,1,2021,1
3/22/2022,-90.32117448,-0.69467727,15,2022,3
1/20/2021,-90.32128049,-0.69466923,1,2021,1
1/22/2021,-90.32138494,-0.69466367,1,2021,1
7/28/2022,-90.32148762,-0.69466188,19,2022,7
11/5/2022,-90.32158725,-0.69465859,23,2022,11
2/15/2022,-90.32169484,-0.69465203,14,2022,2
1/18/2022,-90.32179773,-0.69464781,13,2022,1
11/28/2021,-90.32190005,-0.69464163,11,2021,11
6/15/2021,-90.32200234,-0.69463754,6,2021,6
11/13/2022,-90.32209827,-0.69462893,23,2022,11
8/29/2022,-90.32219201,-0.69462202,20,2022,8
7/14/2022,-90.32228922,-0.69461392,19,2022,7
5/26/2022,-90.32238943,-0.69460598,17,2022,5
6/23/2021,-90.32249369,-0.69459982,6,2021,6
2/13/2022,-90.32259862,-0.69459204,14,2022,2
1/14/2021,-90.32270215,-0.69458618,1,2021,1
5/13/2022,-90.32280498,-0.69458108,17,2022,5
11/1/2021,-90.32290317,-0.69457812,11,2021,11
6/3/2022,-90.32300446,-0.69457701,18,2022,6
9/10/2021,-90.32311133,-0.69457327,9,2021,9
9/2/2021,-90.32322274,-0.69457062,9,2021,9
11/15/2021,-90.32333326,-0.69456718,11,2021,11
8/30/2021,-90.32343831,-0.69456496,8,2021,8
4/29/2022,-90.32353404,-0.69456324,16,2022,4
6/27/2022,-90.32364783,-0.69455798,18,2022,6
7/21/2021,-90.3237653,-0.69458809,7,2021,7
12/3/2021,-90.32386984,-0.69457928,12,2021,12
10/14/2021,-90.32400428,-0.69457869,10,2021,10
12/29/2022,-90.3241393,-0.6945785,24,2022,12
1/21/2021,-90.32426716,-0.69456939,1,2021,1
1/22/2022,-90.32446251,-0.69453718,13,2022,1
9/25/2021,-90.32459305,-0.69451166,9,2021,9
4/10/2022,-90.32472753,-0.69450559,16,2022,4
4/27/2021,-90.32486521,-0.69449811,4,2021,4
3/13/2022,-90.32499813,-0.69449467,15,2022,3
6/23/2021,-90.3251238,-0.69448809,6,2021,6
11/8/2022,-90.32524477,-0.69448541,23,2022,11
9/16/2021,-90.32534445,-0.69448162,9,2021,9
8/16/2022,-90.3254391,-0.69455574,20,2022,8
8/19/2022,-90.32545874,-0.69468689,20,2022,8
8/22/2022,-90.32545988,-0.69485968,20,2022,8
1/27/2021,-90.325453,-0.6949585,1,2021,1
12/17/2022,-90.32545546,-0.69505231,24,2022,12
8/10/2021,-90.32545591,-0.69514674,8,2021,8
10/30/2022,-90.32545711,-0.69524306,22,2022,10
10/11/2021,-90.32545752,-0.6953468,10,2021,10
8/28/2022,-90.32546102,-0.69544969,20,2022,8
4/8/2022,-90.32546413,-0.69555084,16,2022,4
3/29/2022,-90.32546711,-0.69564672,15,2022,3
10/31/2022,-90.32547257,-0.69574614,22,2022,10
6/20/2021,-90.32548153,-0.69585083,6,2021,6
4/29/2022,-90.32549159,-0.69596147,16,2022,4
1/28/2022,-90.32550768,-0.69606787,13,2022,1
7/21/2022,-90.32552489,-0.69618679,19,2022,7
2/21/2021,-90.32554437,-0.69630143,2,2021,2
10/11/2021,-90.32556175,-0.69641904,10,2021,10
10/12/2022,-90.32558751,-0.69653718,22,2022,10
12/24/2021,-90.32561143,-0.6966431,12,2021,12
3/10/2021,-90.3256358,-0.69675624,3,2021,3
11/19/2021,-90.32565994,-0.69686391,11,2021,11
10/22/2022,-90.32569025,-0.69696977,22,2022,10
7/13/2021,-90.32572471,-0.69705993,7,2021,7
6/26/2021,-90.32575213,-0.69715729,6,2021,6
2/27/2021,-90.32578268,-0.69725814,2,2021,2
11/10/2022,-90.3258157,-0.69735455,23,2022,11
11/13/2022,-90.32584606,-0.69744888,23,2022,11
1/28/2022,-90.32587568,-0.69754162,13,2022,1
9/27/2021,-90.32589366,-0.69763397,9,2021,9
4/28/2021,-90.32591806,-0.69773019,4,2021,4
3/5/2022,-90.32594967,-0.69782145,15,2022,3
1/29/2021,-90.32598556,-0.69790967,1,2021,1
1/22/2022,-90.32604764,-0.69806043,13,2022,1
2/11/2021,-90.32607529,-0.69816571,2,2021,2
7/10/2021,-90.32610884,-0.69828203,7,2021,7
3/21/2021,-90.32614605,-0.69838097,3,2021,3
3/29/2022,-90.32618464,-0.69849824,15,2022,3
6/19/2021,-90.32621324,-0.69858608,6,2021,6
3/17/2021,-90.32622982,-0.69868124,3,2021,3
9/26/2021,-90.32626564,-0.6987809,9,2021,9
12/6/2022,-90.3263,-0.69888369,24,2022,12
2/14/2021,-90.32633684,-0.69901056,2,2021,2
2/19/2021,-90.32639375,-0.69917924,2,2021,2
10/16/2022,-90.32642547,-0.69927455,22,2022,10
4/15/2021,-90.32645527,-0.6993692,4,2021,4
11/16/2022,-90.32648682,-0.69946921,23,2022,11
3/22/2022,-90.32652293,-0.69957546,15,2022,3
6/11/2022,-90.32656113,-0.6996872,18,2022,6
3/21/2022,-90.32660596,-0.69981209,15,2022,3
12/6/2021,-90.32664542,-0.69994093,12,2021,12
12/12/2021,-90.32668779,-0.70007425,12,2021,12
3/21/2021,-90.32673221,-0.70021318,3,2021,3
5/18/2021,-90.32677451,-0.70035817,5,2021,5
10/31/2021,-90.32682174,-0.70050442,10,2021,10
2/24/2022,-90.32687349,-0.7006529,14,2022,2
11/28/2021,-90.32692365,-0.70080056,11,2021,11
9/17/2022,-90.32697296,-0.7009468,21,2022,9
2/7/2022,-90.32701387,-0.70109727,14,2022,2
10/24/2021,-90.32704256,-0.70125062,10,2021,10
9/11/2021,-90.32706707,-0.70139883,9,2021,9
1/13/2021,-90.32707952,-0.70155176,1,2021,1
1/29/2021,-90.32706942,-0.70171076,1,2021,1
11/9/2021,-90.32704029,-0.70185746,11,2021,11
12/29/2021,-90.32699126,-0.70200827,12,2021,12
5/9/2021,-90.32692792,-0.70215856,5,2021,5
9/15/2022,-90.32685609,-0.70230964,21,2022,9
10/30/2021,-90.32678858,-0.7024525,10,2021,10
9/23/2021,-90.32672161,-0.70259607,9,2021,9
4/3/2022,-90.32664358,-0.70274301,16,2022,4
3/17/2021,-90.32656807,-0.70288952,3,2021,3
8/14/2021,-90.32649361,-0.7030341,8,2021,8
1/29/2022,-90.32641614,-0.70317874,13,2022,1
3/17/2022,-90.32633839,-0.70332917,15,2022,3
10/17/2022,-90.32625815,-0.7034796,22,2022,10
11/22/2021,-90.32618503,-0.70363144,11,2021,11
7/20/2021,-90.32611282,-0.70377811,7,2021,7
1/17/2021,-90.326044,-0.70391609,1,2021,1
4/6/2021,-90.32597433,-0.70406623,4,2021,4
10/25/2022,-90.32590399,-0.70422124,22,2022,10
3/8/2022,-90.32583716,-0.70437585,15,2022,3
4/9/2021,-90.32576899,-0.70453349,4,2021,4
7/4/2022,-90.32571567,-0.70469365,19,2022,7
2/21/2022,-90.32566687,-0.70485305,14,2022,2
10/15/2021,-90.32562505,-0.70500875,10,2021,10
7/31/2022,-90.32558644,-0.70516705,19,2022,7
4/19/2021,-90.32555886,-0.70532597,4,2021,4
6/9/2022,-90.3255354,-0.70548722,18,2022,6
2/23/2022,-90.32551519,-0.70565142,14,2022,2
7/6/2022,-90.32550118,-0.70581518,19,2022,7
10/25/2022,-90.32549749,-0.70597288,22,2022,10
11/29/2021,-90.32549971,-0.70612563,11,2021,11
7/23/2021,-90.32550451,-0.70628175,7,2021,7
10/3/2021,-90.3255069,-0.70644264,10,2021,10
9/22/2021,-90.32550718,-0.70660811,9,2021,9
12/22/2022,-90.32550783,-0.70677863,24,2022,12
5/30/2021,-90.32551445,-0.70694967,5,2021,5
11/5/2022,-90.32552342,-0.70712301,23,2022,11
8/19/2022,-90.32553705,-0.70729784,20,2022,8
12/19/2022,-90.32555311,-0.70747212,24,2022,12
10/16/2022,-90.32556805,-0.70764825,22,2022,10
5/23/2022,-90.32557946,-0.70782302,17,2022,5
2/1/2021,-90.32559048,-0.70799368,2,2021,2
12/25/2021,-90.32559883,-0.7081654,12,2021,12
5/19/2021,-90.3256057,-0.70833306,5,2021,5
8/2/2022,-90.32561302,-0.7085015,20,2022,8
3/31/2021,-90.3256232,-0.70866491,3,2021,3
8/21/2021,-90.32563022,-0.70882202,8,2021,8
6/7/2022,-90.32563791,-0.70896558,18,2022,6
7/19/2021,-90.32564562,-0.70909552,7,2021,7
12/3/2022,-90.32565422,-0.70935715,24,2022,12
6/11/2021,-90.32566077,-0.70949782,6,2021,6
10/31/2022,-90.32566514,-0.70964289,22,2022,10
9/19/2021,-90.32566837,-0.70979391,9,2021,9
6/21/2022,-90.32567479,-0.70994933,18,2022,6
6/30/2022,-90.32568341,-0.71011277,18,2022,6
11/30/2021,-90.32568767,-0.71028272,11,2021,11
8/25/2021,-90.32568889,-0.71046199,8,2021,8
11/12/2022,-90.32569241,-0.71064818,23,2022,11
3/24/2022,-90.32570201,-0.71083784,15,2022,3
5/31/2021,-90.32571422,-0.71102724,5,2021,5
2/28/2022,-90.325726,-0.7112139,14,2022,2
2/11/2021,-90.32573689,-0.71140063,2,2021,2
3/2/2022,-90.32574387,-0.71158979,15,2022,3
12/24/2021,-90.32575122,-0.71178072,12,2021,12
7/24/2022,-90.32575906,-0.71197517,19,2022,7
11/8/2021,-90.32576444,-0.71217204,11,2021,11
1/28/2022,-90.32576914,-0.71237071,13,2022,1
7/14/2022,-90.32577841,-0.71257301,19,2022,7
9/8/2022,-90.3257887,-0.71276969,21,2022,9
5/28/2021,-90.32579788,-0.71296752,5,2021,5
7/15/2022,-90.32581531,-0.71316278,19,2022,7
4/12/2021,-90.32583033,-0.71335655,4,2021,4
2/17/2021,-90.3258461,-0.71354911,2,2021,2
9/4/2022,-90.32586032,-0.71373294,21,2022,9
1/3/2022,-90.3258773,-0.71390828,13,2022,1
10/27/2022,-90.32589388,-0.71407414,22,2022,10
8/3/2022,-90.32590958,-0.71422849,20,2022,8
12/24/2022,-90.32592353,-0.714372,24,2022,12
12/1/2022,-90.32593422,-0.71450307,24,2022,12
9/29/2022,-90.32594531,-0.71462106,21,2022,9
7/23/2022,-90.32595442,-0.71473204,19,2022,7
2/18/2021,-90.3259659,-0.7148406,2,2021,2
1/26/2022,-90.32597736,-0.71494758,13,2022,1
8/30/2022,-90.32599108,-0.7150537,20,2022,8
1/25/2021,-90.32600269,-0.71516538,1,2021,1
2/9/2021,-90.32601669,-0.71528526,2,2021,2
4/3/2021,-90.32603172,-0.71540966,4,2021,4
9/15/2021,-90.32604543,-0.71553303,9,2021,9
11/9/2021,-90.32606155,-0.71566017,11,2021,11
8/8/2021,-90.3260738,-0.71578512,8,2021,8
2/3/2022,-90.32608846,-0.71590623,14,2022,2
9/19/2022,-90.3261009,-0.71602992,21,2022,9
12/8/2021,-90.3261135,-0.71615129,12,2021,12
7/14/2022,-90.32612545,-0.7162719,19,2022,7
6/10/2021,-90.32613651,-0.71639118,6,2021,6
4/5/2021,-90.32615032,-0.71651099,4,2021,4
8/31/2021,-90.32616624,-0.71663117,8,2021,8
5/19/2021,-90.32617926,-0.71675311,5,2021,5
12/30/2022,-90.32619309,-0.71687794,24,2022,12
11/6/2021,-90.32619965,-0.71701218,11,2021,11
6/29/2021,-90.32619925,-0.71715742,6,2021,6
11/10/2022,-90.3262056,-0.7173116,23,2022,11
6/29/2022,-90.3262227,-0.71746828,18,2022,6
5/26/2022,-90.32625208,-0.71762617,17,2022,5
5/28/2021,-90.32628031,-0.71778773,5,2021,5
11/24/2022,-90.32630433,-0.71795107,23,2022,11
6/23/2022,-90.32632525,-0.71811999,18,2022,6
1/10/2021,-90.32634577,-0.71829087,1,2021,1
3/21/2021,-90.32636414,-0.71846482,3,2021,3
3/18/2022,-90.32638416,-0.71864252,15,2022,3
10/20/2022,-90.32640697,-0.71882115,22,2022,10
10/3/2021,-90.32642552,-0.71900335,10,2021,10
12/11/2021,-90.32644527,-0.71918779,12,2021,12
5/27/2021,-90.32645978,-0.71937125,5,2021,5
4/26/2021,-90.3264676,-0.71955659,4,2021,4
8/11/2021,-90.3264714,-0.71974298,8,2021,8
12/12/2021,-90.32646879,-0.71992972,12,2021,12
2/16/2021,-90.32645917,-0.72011971,2,2021,2
7/14/2022,-90.32644375,-0.72030809,19,2022,7
7/10/2022,-90.32642541,-0.72049369,19,2022,7
5/6/2021,-90.32640242,-0.7206815,5,2021,5
6/28/2021,-90.32637683,-0.72086685,6,2021,6
2/17/2021,-90.32635095,-0.72105399,2,2021,2
11/19/2021,-90.32632523,-0.72123283,11,2021,11
5/27/2022,-90.32629952,-0.72140788,17,2022,5
4/20/2021,-90.32627271,-0.72158043,4,2021,4
6/21/2021,-90.32625102,-0.72174448,6,2021,6
9/17/2022,-90.32623071,-0.72190085,21,2022,9
2/11/2021,-90.3262097,-0.72205497,2,2021,2
12/24/2022,-90.32618583,-0.72220661,24,2022,12
3/12/2021,-90.32615854,-0.72235736,3,2021,3
6/20/2021,-90.326139,-0.72250901,6,2021,6
12/18/2022,-90.32612211,-0.72266293,24,2022,12
2/28/2022,-90.32611152,-0.72281851,14,2022,2
9/2/2022,-90.32611303,-0.72297751,21,2022,9
3/2/2022,-90.32613048,-0.72313794,15,2022,3
8/19/2022,-90.32616206,-0.72329911,20,2022,8
12/16/2021,-90.32621037,-0.72346147,12,2021,12
2/1/2021,-90.32627572,-0.72362257,2,2021,2
12/13/2021,-90.3263575,-0.72377914,12,2021,12
9/22/2021,-90.32644718,-0.72391965,9,2021,9
8/25/2021,-90.32653753,-0.72405425,8,2021,8
1/17/2022,-90.32662758,-0.72417897,13,2022,1
7/31/2021,-90.32671523,-0.7243037,7,2021,7
9/27/2021,-90.32680313,-0.72442179,9,2021,9
11/19/2022,-90.32688686,-0.724537,23,2022,11
11/6/2022,-90.32696764,-0.72464832,23,2022,11
3/19/2021,-90.32704524,-0.72475548,3,2021,3
10/29/2021,-90.32711902,-0.72486581,10,2021,10
11/17/2022,-90.32719122,-0.72497988,23,2022,11
6/30/2022,-90.32726041,-0.72509638,18,2022,6
4/8/2022,-90.32731953,-0.72521392,16,2022,4
6/13/2022,-90.32737206,-0.72532876,18,2022,6
5/9/2021,-90.32741283,-0.7254496,5,2021,5
6/20/2022,-90.32744893,-0.72557628,18,2022,6
3/3/2021,-90.32747406,-0.72569947,3,2021,3
3/16/2022,-90.32750058,-0.72582668,15,2022,3
7/6/2022,-90.32752096,-0.72595601,19,2022,7
11/9/2021,-90.32753778,-0.7260857,11,2021,11
12/26/2022,-90.32755549,-0.72621237,24,2022,12
1/31/2022,-90.32757219,-0.72634149,13,2022,1
10/20/2021,-90.32759018,-0.72646754,10,2021,10
5/29/2022,-90.32760688,-0.72660004,17,2022,5
10/14/2022,-90.32762603,-0.72674598,22,2022,10
1/21/2022,-90.32765075,-0.72689053,13,2022,1
5/9/2021,-90.32766782,-0.72703661,5,2021,5
7/28/2021,-90.32768969,-0.7271725,7,2021,7
3/24/2021,-90.32770598,-0.72731463,3,2021,3
6/1/2022,-90.32772931,-0.72744946,18,2022,6
9/7/2021,-90.32776573,-0.72773457,9,2021,9
8/11/2021,-90.32778382,-0.72787408,8,2021,8
9/1/2021,-90.32780648,-0.72801744,9,2021,9
4/25/2021,-90.32782869,-0.72816298,4,2021,4
1/10/2021,-90.32785445,-0.72830777,1,2021,1
11/21/2022,-90.32787461,-0.72844907,23,2022,11
5/24/2022,-90.32789798,-0.72859493,17,2022,5
1/14/2021,-90.32791907,-0.72873724,1,2021,1
8/13/2021,-90.32793574,-0.7288879,8,2021,8
4/2/2022,-90.32795424,-0.72903713,16,2022,4
7/29/2022,-90.32797575,-0.72918477,19,2022,7
5/17/2022,-90.32799424,-0.72933479,17,2022,5
12/6/2022,-90.32801344,-0.72947811,24,2022,12
4/17/2022,-90.32803601,-0.72962029,16,2022,4
9/5/2021,-90.32805244,-0.72976492,9,2021,9
4/30/2022,-90.3280668,-0.72990845,16,2022,4
6/24/2021,-90.32808408,-0.73004114,6,2021,6
5/21/2022,-90.32810331,-0.73015547,17,2022,5
7/15/2022,-90.3281229,-0.73026898,19,2022,7
1/5/2022,-90.32813851,-0.73038742,13,2022,1
3/14/2021,-90.32815456,-0.73050658,3,2021,3
2/20/2021,-90.3281714,-0.73062399,2,2021,2
6/5/2021,-90.32819106,-0.73073905,6,2021,6
1/25/2022,-90.32820796,-0.73085544,13,2022,1
10/20/2022,-90.32822154,-0.73097631,22,2022,10
8/23/2022,-90.32823918,-0.7310975,20,2022,8
5/12/2022,-90.32825878,-0.73121149,17,2022,5
7/14/2021,-90.32827798,-0.73132703,7,2021,7
10/17/2021,-90.32829267,-0.73144228,10,2021,10
11/24/2022,-90.32830582,-0.7315558,23,2022,11
1/22/2022,-90.32831894,-0.73166397,13,2022,1
5/1/2021,-90.32833426,-0.73177079,5,2021,5
7/26/2021,-90.3283432,-0.73188291,7,2021,7
3/20/2021,-90.32835183,-0.73199274,3,2021,3
3/17/2021,-90.32834847,-0.73210735,3,2021,3
1/3/2022,-90.32834279,-0.73222064,13,2022,1
4/5/2021,-90.32833768,-0.73232594,4,2021,4
3/5/2022,-90.32832185,-0.73243263,15,2022,3
1/10/2021,-90.32830543,-0.7325342,1,2021,1
2/27/2021,-90.32828267,-0.7326412,2,2021,2
5/8/2022,-90.32825541,-0.73274284,17,2022,5
7/24/2021,-90.32822529,-0.73283988,7,2021,7
2/17/2021,-90.32818962,-0.73294137,2,2021,2
7/9/2022,-90.32816969,-0.73303678,19,2022,7
8/15/2022,-90.32813633,-0.73314104,20,2022,8
5/3/2022,-90.32810071,-0.73323927,17,2022,5
5/3/2021,-90.32807411,-0.73333552,5,2021,5
8/20/2022,-90.32803956,-0.7334363,20,2022,8
11/22/2022,-90.32801897,-0.73353041,23,2022,11
6/23/2021,-90.32798607,-0.73363022,6,2021,6
5/14/2022,-90.32796033,-0.73373015,17,2022,5
3/21/2022,-90.32793609,-0.73382867,15,2022,3
5/4/2022,-90.32790426,-0.73393346,17,2022,5
10/11/2022,-90.32787111,-0.73403924,22,2022,10
4/17/2021,-90.32783912,-0.73412954,4,2021,4
2/10/2021,-90.32780816,-0.73421911,2,2021,2
11/27/2022,-90.32777678,-0.73430713,23,2022,11
3/25/2022,-90.3277491,-0.73439528,15,2022,3
2/18/2021,-90.32773124,-0.73448982,2,2021,2
6/22/2021,-90.327702,-0.73458531,6,2021,6
4/14/2022,-90.32767251,-0.73469178,16,2022,4
1/26/2022,-90.32763762,-0.73479402,13,2022,1
10/4/2021,-90.32760233,-0.73490013,10,2021,10
8/11/2022,-90.32756217,-0.73501104,20,2022,8
8/4/2021,-90.32751635,-0.73512433,8,2021,8
2/1/2022,-90.32746146,-0.73524686,14,2022,2
6/16/2021,-90.32739601,-0.73536188,6,2021,6
10/11/2021,-90.32732378,-0.73547812,10,2021,10
6/20/2021,-90.32724859,-0.73559387,6,2021,6
9/6/2022,-90.32716569,-0.73570525,21,2022,9
2/9/2022,-90.32707776,-0.73581034,14,2022,2
1/19/2022,-90.32698505,-0.73591274,13,2022,1
4/20/2021,-90.32688617,-0.73600895,4,2021,4
8/14/2022,-90.3267858,-0.73610052,20,2022,8
3/16/2021,-90.32668046,-0.73619301,3,2021,3
10/27/2021,-90.32657087,-0.73629124,10,2021,10
11/3/2021,-90.32645873,-0.73639783,11,2021,11
7/30/2021,-90.32634098,-0.7364991,7,2021,7
3/17/2022,-90.32622327,-0.73660257,15,2022,3
8/29/2021,-90.32611284,-0.73671658,8,2021,8
11/10/2021,-90.32598964,-0.73682098,11,2021,11
10/9/2021,-90.3258734,-0.73692625,10,2021,10
1/24/2021,-90.32576203,-0.7370279,1,2021,1
2/13/2022,-90.32565406,-0.737124,14,2022,2
2/13/2021,-90.32554466,-0.73721823,2,2021,2
12/6/2021,-90.32544789,-0.73731211,12,2021,12
1/30/2022,-90.32535524,-0.73738668,13,2022,1
11/4/2022,-90.32527986,-0.73746144,23,2022,11
1/23/2021,-90.32519776,-0.737527,1,2021,1
12/23/2021,-90.3251305,-0.7375927,12,2021,12
1/17/2021,-90.32501122,-0.7376951,1,2021,1
5/1/2022,-90.32491725,-0.7377643,17,2022,5
2/1/2022,-90.32484678,-0.73782147,14,2022,2
3/1/2022,-90.32474081,-0.73790138,15,2022,3
1/21/2021,-90.3246414,-0.73799978,1,2021,1
2/1/2022,-90.32457193,-0.73806209,14,2022,2
2/11/2022,-90.324498,-0.73813169,14,2022,2
12/20/2021,-90.32442055,-0.73820249,12,2021,12
6/12/2021,-90.32433402,-0.73827405,6,2021,6
6/2/2022,-90.32425435,-0.73835015,18,2022,6
1/27/2021,-90.32417911,-0.73843162,1,2021,1
2/4/2022,-90.32410186,-0.73851496,14,2022,2
6/20/2022,-90.32401883,-0.73860837,18,2022,6
9/17/2021,-90.32393436,-0.73869732,9,2021,9
5/11/2021,-90.32384408,-0.73878673,5,2021,5
10/21/2021,-90.3237554,-0.73886917,10,2021,10
4/14/2022,-90.3236753,-0.73895169,16,2022,4
11/5/2022,-90.32359034,-0.73903221,23,2022,11
10/13/2021,-90.32352161,-0.73910873,10,2021,10
5/14/2022,-90.32341094,-0.7392251,17,2022,5
8/1/2022,-90.32334193,-0.73930636,20,2022,8
8/28/2021,-90.32328603,-0.73923169,8,2021,8
11/6/2021,-90.32321474,-0.73917149,11,2021,11
4/15/2021,-90.3231535,-0.73910332,4,2021,4
8/8/2021,-90.32308081,-0.739047,8,2021,8
10/11/2021,-90.32298778,-0.73904379,10,2021,10
10/14/2021,-90.32290792,-0.7389981,10,2021,10
3/19/2021,-90.32281173,-0.73901468,3,2021,3
6/27/2022,-90.32282613,-0.73902113,18,2022,6
6/7/2022,-90.32282639,-0.7390281,18,2022,6
9/24/2022,-90.32282264,-0.73903609,21,2022,9
1/4/2022,-90.32282229,-0.739033,13,2022,1
8/8/2021,-90.32272604,-0.73903694,8,2021,8
6/17/2021,-90.32272119,-0.73903921,6,2021,6
6/25/2022,-90.32271592,-0.73903724,18,2022,6
1/5/2021,-90.32270829,-0.73903468,1,2021,1
4/2/2022,-90.32269335,-0.73900008,16,2022,4
9/8/2022,-90.3226962,-0.73899391,21,2022,9
10/31/2021,-90.32269694,-0.73899324,10,2021,10
2/26/2022,-90.32269756,-0.73899315,14,2022,2
7/19/2022,-90.322787,-0.739016,19,2022,7
7/27/2021,-90.32278657,-0.73902228,7,2021,7
2/24/2022,-90.32279036,-0.73903033,14,2022,2
8/29/2021,-90.3227932,-0.73903756,8,2021,8
6/23/2021,-90.32269232,-0.73900097,6,2021,6
11/15/2022,-90.32278882,-0.73900779,23,2022,11
5/27/2022,-90.32279043,-0.7390076,17,2022,5
2/11/2022,-90.32279078,-0.73900761,14,2022,2
2/6/2022,-90.32279333,-0.73900652,14,2022,2
5/12/2021,-90.32278529,-0.73905548,5,2021,5
11/22/2021,-90.32278534,-0.73905545,11,2021,11
4/30/2021,-90.32279032,-0.73905466,4,2021,4
2/28/2022,-90.32279306,-0.73905257,14,2022,2
5/24/2021,-90.32278644,-0.73903921,5,2021,5
6/16/2022,-90.32278837,-0.73903993,18,2022,6
6/13/2021,-90.32278625,-0.73904172,6,2021,6
